# 7daf4d34-e3c1-4827-9777-a6793ffc3440
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps
72.991255; 5.200000000000001; 9.0; 0; 0; 1; 0
73.191202; 5.280000000000001; 9.0; 0; 0; 1; 0
73.391149; 5.359999999999999; 9.0; 0; 0; 1; 0
73.591096; 5.4399999999999995; 9.0; 0; 0; 1; 0
73.791043; 5.52; 9.0; 0; 0; 1; 0
73.99099; 5.6; 9.0; 0; 0; 1; 0
74.190937; 5.68; 9.0; 0; 0; 1; 0
74.390884; 5.76; 9.0; 0; 0; 1; 0
74.590831; 5.84; 9.0; 0; 0; 1; 0
74.790778; 5.92; 9.0; 0; 0; 1; 0
74.990725; 6.0; 9.0; 0; 0; 1; 0
75.190672; 6.08; 9.0; 0; 0; 1; 0
75.390619; 6.16; 9.0; 0; 0; 1; 0
75.590566; 6.24; 9.0; 0; 0; 1; 0
75.790513; 6.32; 9.0; 0; 0; 1; 0
75.99046; 6.4; 9.0; 0; 0; 1; 0
76.190407; 6.48; 9.0; 0; 0; 1; 0
76.390354; 6.5600000000000005; 9.0; 0; 0; 1; 0
76.590301; 6.640000000000001; 9.0; 0; 0; 1; 0
76.790248; 6.720000000000001; 9.0; 0; 0; 1; 0
76.990195; 6.800000000000001; 9.0; 0; 0; 1; 0
77.190142; 6.880000000000001; 9.0; 0; 0; 1; 0
77.390089; 6.960000000000001; 9.0; 0; 0; 1; 0
77.590036; 7.040000000000001; 9.0; 0; 0; 1; 0
77.789983; 7.120000000000001; 9.0; 0; 0; 1; 0
77.98993; 7.200000000000001; 9.0; 0; 0; 1; 0
78.189877; 7.280000000000001; 9.0; 0; 0; 1; 0
78.389824; 7.359999999999999; 9.0; 0; 0; 1; 0
78.589771; 7.4399999999999995; 9.0; 0; 0; 1; 0
78.789718; 7.52; 9.0; 0; 0; 1; 0
78.989665; 7.6; 9.0; 0; 0; 1; 0
79.189612; 7.68; 9.0; 0; 0; 1; 0
79.389559; 7.76; 9.0; 0; 0; 1; 0
79.589506; 7.84; 9.0; 0; 0; 1; 0
79.789453; 7.92; 9.0; 0; 0; 1; 0
79.9894; 8.0; 9.0; 0; 0; 1; 0
